ダウンロード実行日,2017年08月21日現在,件数,9742件,,,,,,,,
ＥＤＩＮＥＴコード,提出者種別,上場区分,連結の有無,資本金,決算日,提出者名,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード
E02333,内国法人・組合,上場,有,992,3月31日,株式会社日本トリム,"NIHON TRIM.,CO.LTD.",カブシキガイシャニホントリム,大阪市北区大淀中１－８－３４,電気機器,67880
E02342,内国法人・組合,上場,無,1359,7月31日,株式会社アルチザネットワークス,"Artiza Networks, Inc.",カブシキガイシャアルチザネットワークス,立川市曙町二丁目３６番２号,電気機器,67780
E02345,内国法人・組合,上場,無,1069,3月31日,株式会社テクノメディカ,"Techno Medica Co., Ltd.",カブシキガイシャテクノメディカ,横浜市都筑区仲町台５丁目５番１号,電気機器,66780
E02346,内国法人・組合,上場,有,4109,9月30日,株式会社エスケーエレクトロニクス,"SK-Electronics CO.,LTD.",カブシキガイシャエスケーエレクトロニクス,京都市上京区東堀川通リ一条上ル竪富田町４３６番地の２,電気機器,66770
E02347,内国法人・組合,非上場,有,1077,5月31日,株式会社レイテックス,RAYTEX CORPORATION,カブシキガイシャレイテックス,多摩市落合一丁目３３番３号,電気機器,66720
E02356,内国法人・組合,上場,無,486,4月30日,インスペック株式会社,inspec Inc.,インスペックカブシキガイシャ,仙北市角館町雲然荒屋敷７９番地の１,電気機器,66560
E02390,内国法人・組合,上場,有,8080,3月31日,株式会社エンプラス,ENPLAS CORPORATION,カブシキガイシャエンプラス,川口市並木２丁目３０番１号,電気機器,69610
E02395,内国法人・組合,上場,有,4022,11月20日,象印マホービン株式会社,ZOJIRUSHI CORPORATION,ゾウジルシマホービンカブシキガイシャ,大阪市北区天満１丁目２０番５号,電気機器,79650
E02411,内国法人・組合,上場,有,3072,3月31日,株式会社ニレコ,NIRECO CORPORATION,カブシキガイシャニレコ,八王子市石川町２９５１－４,電気機器,68630
E02431,内国法人・組合,上場,有,4043,3月31日,ジオマテック株式会社,"GEOMATEC CO.,LTD.",ジオマテックカブシキガイシャ,横浜市西区みなとみらい二丁目２番１号,電気機器,69070
E02652,内国法人・組合,上場,有,54961,3月31日,東京エレクトロン株式会社,Tokyo Electron Limited,トウキョウエレクトロンカブシキガイシャ,港区赤坂五丁目３番１号,電気機器,80350
E03346,内国法人・組合,上場,無,1197,3月31日,ぷらっとホーム株式会社,"PLAT'HOME CO.,LTD.",プラットホームカブシキガイシャ,千代田区九段北四丁目１番３号,電気機器,68360
E05702,内国法人・組合,上場,有,1819,11月30日,株式会社ネクスグループ,NCXX Group Inc.,カブシキガイシャネクスグループ,花巻市椚ノ目第２地割３２番地１,電気機器,66340
E21320,内国法人・組合,上場,有,10000,3月31日,株式会社ＪＶＣケンウッド,JVC KENWOOD Corporation,カブシキカイシャジェイブイシーケンウッド,横浜市神奈川区守屋町三丁目１２番地,電気機器,66320
E23829,内国法人・組合,上場,有,1813, 4月末日,ヤーマン株式会社,YA-MAN LTD.,ヤーマンカブシキガイシャ,江東区古石場一丁目４番４号,電気機器,66300
E23871,内国法人・組合,上場,有,2500,3月31日,テクノホライゾン・ホールディングス株式会社,,テクノホライゾンホールディングスカブシキカイシャ,名古屋市南区千竈通２丁目１３番地１,電気機器,66290
E24562,内国法人・組合,上場,有,4011,3月31日,オンキヨー株式会社,ONKYO CORPORATION,オンキヨーカブシキガイシャ,寝屋川市日新町２番１号,電気機器,66280
E24862,内国法人・組合,非上場,無,310,1月31日,株式会社杉原産業,,カブシキガイシャスギハラサンギョウ,新宿区富久町１６番６号,電気機器,
E24994,内国法人・組合,上場,有,11820, 3月末日,株式会社テラプローブ,,カブシキガイシャテラプローブ,横浜市港北区新横浜二丁目７番１７号,電気機器,66270
E25386,内国法人・組合,上場,有,762,3月31日,ＳＥＭＩＴＥＣ株式会社,SEMITEC Corporation,セミテックカブシキカイシャ,墨田区錦糸一丁目７番７号,電気機器,66260
E25665,内国法人・組合,上場,有,2000,3月31日,宮越ホールディングス株式会社,"Miyakoshi Holdings, Inc.",ミヤコシホールディングスカブシキガイシャ,大田区大森北一丁目２３番１号,電気機器,66200
E25686,内国法人・組合,上場,有,1884,3月31日,ＪＡＬＣＯホールディングス株式会社,JALCO Holdings Inc.,ジャルコ　ホールディングス　カブシキガイシャ,中央区日本橋２丁目１６番１１号,電気機器,66250
E26082,内国法人・組合,上場,有,4119,12月31日,ダブル・スコープ株式会社,W-SCOPE Corporation,ダブルスコープカブシキガイシャ,品川区大崎五丁目１番１１号,電気機器,66190
E26216,内国法人・組合,上場,有,1039,3月31日,株式会社大泉製作所,"OHIZUMI MFG.CO.,LTD.",カブシキガイシャオオイズミセイサクショ,狭山市新狭山一丁目１１番４号,電気機器,66180
E26713,内国法人・組合,上場,有,8000, 3月末日,株式会社東光高岳,"TAKAOKA TOKO CO., LTD.",カブシキカイシャトウコウタカオカ,江東区豊洲五丁目６番３６号,電気機器,66170
E30479,内国法人・組合,上場,有,1838, 3月末日,トレックス・セミコンダクター株式会社,TOREX SEMICONDUCTOR LTD.,トレックスセミコンダクターカブシキガイシャ,中央区新川一丁目２４番１号,電気機器,66160
E30481,内国法人・組合,上場,有,96863, 3月末日,株式会社ジャパンディスプレイ,,カブシキガイシャジャパンディスプレイ,港区西新橋三丁目７番１号,電気機器,67400
E32169,内国法人・組合,上場,有,1334,3月31日,ユー・エム・シー・エレクトロニクス株式会社,"UMC Electronics Co.,Ltd.",ユーエムシーエレクトロニクスカブシキガイシャ,上尾市瓦葺７２１番地,電気機器,66150
E33025,内国法人・組合,上場,有,42,12月31日,株式会社ズーム,ZOOM CORPORATION,カブシキカイシャズーム,千代田区神田駿河台４丁目４番地３,電気機器,66940
E33323,内国法人・組合,上場,有,370,1月31日,株式会社トランザス,"TRANZAS , Inc",カブシキガイシャトランザス,横浜市西区みなとみらい二丁目２番１号横浜ランドマークタワー,電気機器,66960
E04498,内国法人・組合,上場,有,1400975,3月31日,東京電力ホールディングス株式会社,"Tokyo Electric Power Company Holdings, Incorporated",トウキョウデンリョクホールディングスカブシキガイシャ,千代田区内幸町１丁目１番３号,電気・ガス業,95010
E04499,内国法人・組合,上場,有,489320,3月31日,関西電力株式会社,"The Kansai Electric Power Company, Incorporated",カンサイデンリョクカブシキガイシャ,大阪市北区中之島３丁目６番１６号,電気・ガス業,95030
E04500,内国法人・組合,上場,有,114291,3月31日,北海道電力株式会社,"Hokkaido Electric Power Company, Incorporated",ホッカイドウデンリョクカブシキガイシャ,札幌市中央区大通東１丁目２番地,電気・ガス業,95090
E04501,内国法人・組合,上場,有,251441,3月31日,東北電力株式会社,"Tohoku Electric Power Company,Incorporated",トウホクデンリョクカブシキガイシャ,仙台市青葉区本町一丁目７番１号,電気・ガス業,95060
E04502,内国法人・組合,上場,有,430777,3月31日,中部電力株式会社,"Chubu Electric Power Company,Incorporated",チュウブデンリョクカブシキガイシャ,名古屋市東区東新町１番地,電気・ガス業,95020
E04503,内国法人・組合,上場,有,117641,3月31日,北陸電力株式会社,Hokuriku Electric Power Company,ホクリクデンリョクカブシキガイシャ,富山市牛島町１５番１号,電気・ガス業,95050
E04504,内国法人・組合,上場,有,185527,3月31日,中国電力株式会社,"The Chugoku Electric Power Company, Incorporated",チュウゴクデンリョクカブシキガイシャ,広島市中区小町４番３３号,電気・ガス業,95040
E04505,内国法人・組合,上場,有,145551,3月31日,四国電力株式会社,"Shikoku Electric Power Company, Incorporated",シコクデンリョクカブシキカイシャ,高松市丸の内２番５号,電気・ガス業,95070
E04506,内国法人・組合,上場,有,237304,3月31日,九州電力株式会社,"Kyushu Electric Power Company, Incorporated",キュウシュウデンリョクカブシキガイシャ,福岡市中央区渡辺通二丁目１番８２号,電気・ガス業,95080
E04507,内国法人・組合,非上場,有,120000,3月31日,日本原子力発電株式会社,The Japan Atomic Power Company,ニホンゲンシリョクハツデンカブシキガイシャ,千代田区神田美土代町１番地１,電気・ガス業,
E04509,内国法人・組合,上場,有,7586,3月31日,沖縄電力株式会社,"The Okinawa Electric Power Company,Incorporated",オキナワデンリョクカブシキガイシャ,浦添市牧港五丁目２番１号,電気・ガス業,95110
E04510,内国法人・組合,上場,有,180502,3月31日,電源開発株式会社,"Electric Power Development Co., Ltd.",デンゲンカイハツカブシキガイシャ,中央区銀座六丁目１５番１号,電気・ガス業,95130
E04511,内国法人・組合,上場,有,6903,3月31日,北海道瓦斯株式会社,"HOKKAIDO GAS CO., LTD.",ホッカイドウガスカブシキガイシャ,札幌市中央区大通西７丁目３番地１,電気・ガス業,95340
E04512,内国法人・組合,非上場,有,85,12月31日,弘前ガス株式会社,"Hirosaki Gas Co.,Ltd.",ヒロサキガスカブシキガイシャ,弘前市大字松ヶ枝１丁目２番地１,電気・ガス業,
E04513,内国法人・組合,非上場,無,130,12月31日,八戸ガス株式会社,"Hachinohe Gas Co.,Ltd.",ハチノヘガスカブシキガイシャ,八戸市沼館三丁目６番４８号,電気・ガス業,
E04514,内国法人・組合,上場,有,141844,3月31日,東京瓦斯株式会社,"TOKYO GAS CO.,LTD.",トウキョガスカブシキガイシャ,港区海岸一丁目５番２０号,電気・ガス業,95310
E04515,内国法人・組合,上場,有,2754,12月31日,京葉瓦斯株式会社,"KEIYO GAS CO., LTD.",ケイヨウガスカブシキガイシャ,市川市市川南二丁目８番８号,電気・ガス業,95390
E04516,内国法人・組合,上場,有,6279,12月31日,静岡ガス株式会社,"SHIZUOKA GAS CO., LTD.",シズオカガスカブシキガイシャ,静岡市駿河区八幡一丁目５番３８号,電気・ガス業,95430
E04517,内国法人・組合,上場,有,33072,3月31日,東邦瓦斯株式会社,"TOHO GAS CO.,LTD.",トウホウガスカブシキガイシャ,名古屋市熱田区桜田町１９番１８号,電気・ガス業,95330
E04518,内国法人・組合,非上場,有,3162,11月30日,中部瓦斯株式会社,"CHUBU GAS CO., LTD.",チュウブガスカブシキガイシャ,豊橋市駅前大通一丁目５５番地　サーラタワー,電気・ガス業,95400
E04519,内国法人・組合,上場,有,2400,3月31日,北陸瓦斯株式会社,,ホクリクガスカブシキガイシャ,新潟市中央区東大通一丁目２番２３号,電気・ガス業,95370
E04520,内国法人・組合,上場,有,132166,3月31日,大阪瓦斯株式会社,"OSAKA GAS CO.,LTD.",オオサカガスカブシキガイシャ,大阪市中央区平野町四丁目１番２号,電気・ガス業,95320
E04521,内国法人・組合,上場,有,5181,3月31日,広島ガス株式会社,,ヒロシマガスカブシキガイシャ,広島市南区皆実町二丁目７番１号,電気・ガス業,95350
E04522,内国法人・組合,非上場,有,1800,3月31日,四国ガス株式会社,"SHIKOKUGAS CO., LTD.",シコクガスカブシキカイシャ,今治市南大門町二丁目２番地の４,電気・ガス業,
E04523,内国法人・組合,上場,有,20629,3月31日,西部瓦斯株式会社,,サイブガスカブシキガイシャ,福岡市博多区千代一丁目１７番１号,電気・ガス業,95360
E04524,内国法人・組合,非上場,有,645,3月31日,日本瓦斯株式会社,,ニホンガスカブシキガイシャ,鹿児島市中央町８番地２,電気・ガス業,
E04526,内国法人・組合,非上場,有,180,3月31日,宮崎瓦斯株式会社,,ミヤザキガスカブシキガイシャ,宮崎市阿波岐原町野間３１１番地１,電気・ガス業,
E04531,内国法人・組合,非上場,有,2244,12月31日,大多喜ガス株式会社,"Otaki Gas Co., Ltd.",オオタキガスカブシキガイシャ,茂原市茂原６６１番地,電気・ガス業,95410
E04532,内国法人・組合,上場,無,500,3月31日,新日本瓦斯株式会社,SHINNIHON GAS CORPORATION,シンニホンガスカブシキカイシャ,北本市古市場１－５,電気・ガス業,95420
E04533,内国法人・組合,上場,有,600,3月31日,東日本ガス株式会社,HIGASHINIHON GAS CORPORATION,ヒガシニホンガスカブシキガイシャ,我孫子市下ヶ戸６０８番地‐１,電気・ガス業,95440
E04534,内国法人・組合,非上場,有,450,3月31日,東彩ガス株式会社,TOSAI GAS INC.,トウサイガスカブシキガイシャ,春日部市大場２０２番地,電気・ガス業,
E05470,内国法人・組合,上場,有,2147,6月30日,株式会社エフオン,EF-ON INC.,カブシキガイシャエフオン,中央区京橋三丁目１番１号,電気・ガス業,95140
E26118,内国法人・組合,非上場,有,307,5月31日,株式会社ジャネックス,,カブシキガイシャジャネックス,福岡市中央区渡辺通４丁目８番２８号,電気・ガス業,
E31064,内国法人・組合,上場,有,11946, 3月末日,メタウォーター株式会社,"METAWATER Co.,Ltd.",メタウォーターカブシキガイシャ,千代田区神田須田町一丁目２５番地,電気・ガス業,95510
E31065,内国法人・組合,上場,有,3465, 3月末日,イーレックス株式会社,"eREX Co.,Ltd.",イーレックスカブシキガイシャ,中央区日本橋本石町３丁目３番１４号,電気・ガス業,95170
E32215,内国法人・組合,非上場,無,80000,3月31日,東京電力パワーグリッド株式会社,"TEPCO Power Grid, Incorporated",トウキョウデンリョクパワーグリッドカブシキガイシャ,千代田区内幸町１丁目１番３号,電気・ガス業,95180
E32967,内国法人・組合,上場,有,1666, 5月末日,株式会社レノバ,,カブシキカイシャレノバ,千代田区大手町一丁目７番２号,電気・ガス業,95190
E01225,内国法人・組合,上場,有,419524,3月31日,新日鐵住金株式会社,NIPPON STEEL & SUMITOMO METAL CORPORATION,シンニッテツスミキンカブシキガイシャ,千代田区丸の内二丁目６番１号,鉄鋼,54010
E01226,内国法人・組合,非上場,有,239644,3月31日,ＪＦＥスチール株式会社,JFE Steel Corporation,ジェイ　エフ　イー　スチール　カブシキカイシャ,千代田区内幸町二丁目２番３号,鉄鋼,
E01229,内国法人・組合,上場,有,20044,3月31日,株式会社中山製鋼所,"NAKAYAMA STEEL WORKS, LTD.",カブシキガイシャナカヤマセイコウショ,大阪市大正区船町一丁目１番６６号,鉄鋼,54080
E01231,内国法人・組合,上場,有,250930,3月31日,株式会社　神戸製鋼所,"Kobe Steel, Ltd.",カブシキガイシャ　コウベセイコウショ,神戸市中央区脇浜海岸通２丁目２番４号,鉄鋼,54060
E01233,内国法人・組合,上場,有,9924,3月31日,三菱製鋼株式会社,"Mitsubishi Steel Mfg. Co.,Ltd.",ミツビシセイコウカブシキガイシャ,中央区晴海三丁目２番２２号,鉄鋼,56320
E01234,内国法人・組合,上場,有,25016,3月31日,愛知製鋼株式会社,AICHI STEEL CORPORATION,アイチセイコウカブシキガイシャ,東海市荒尾町ワノ割１番地,鉄鋼,54820
E01235,内国法人・組合,上場,有,34896,3月31日,合同製鐵株式会社,"Godo Steel,Ltd.",ゴウドウセイテツカブシキガイシャ,大阪市北区堂島浜二丁目２番８号　東洋紡ビル８階,鉄鋼,54100
E01236,内国法人・組合,上場,有,2627,3月31日,日本鋳造株式会社,NIPPON CHUZO K. K.,ニッポンチュウゾウカブシキガイシャ,川崎市川崎区白石町２－１,鉄鋼,56090
E01238,内国法人・組合,上場,無,651,12月31日,大和重工株式会社,"Daiwa Heavy Industry Co.,Ltd.",ダイワジュウコウカブシキガイシャ,広島市安佐北区可部１丁目２１－２３,鉄鋼,56100
E01239,内国法人・組合,上場,有,37172,3月31日,大同特殊鋼株式会社,"Daido Steel Co., Ltd.",ダイドウトクシュコウカブシキガイシャ,名古屋市東区東桜一丁目１番１０号,鉄鋼,54710
E01240,内国法人・組合,上場,有,15669,3月31日,日本高周波鋼業株式会社,"Nippon Koshuha Steel Co., Ltd.",ニッポンコウシュウハコウギョウカブシキガイシャ,千代田区岩本町一丁目１０番５号,鉄鋼,54760
E01242,内国法人・組合,上場,有,24301,3月31日,日本冶金工業株式会社,"Nippon Yakin Kogyo Co.,Ltd.",ニッポンヤキンコウギョウカブシキガイシャ,中央区京橋一丁目５番８号,鉄鋼,54800
E01243,内国法人・組合,上場,有,20182,3月31日,山陽特殊製鋼株式会社,"Sanyo Special Steel Co.,Ltd.",サンヨウトクシュセイコウカブシキガイシャ,姫路市飾磨区中島字一文字３００７番地,鉄鋼,54810
E01244,内国法人・組合,上場,有,26284,3月31日,日立金属株式会社,"Hitachi Metals, Ltd.",ヒタチキンゾクカブシキガイシャ,港区港南一丁目２番７０号,鉄鋼,54860
E01245,内国法人・組合,上場,有,827,3月31日,東北特殊鋼株式会社,"Tohoku Steel Co.,Ltd.",トウホクトクシュコウカブシキガイシャ,仙台市太白区長町七丁目２０番１号,鉄鋼,54840
E01247,内国法人・組合,上場,有,23220,3月31日,株式会社淀川製鋼所,"Yodogawa Steel Works,Ltd.",カブシキガイシャヨドガワセイコウショ,大阪市中央区南本町四丁目１番１号,鉄鋼,54510
E01248,内国法人・組合,上場,有,79913,3月31日,日新製鋼株式会社,"Nisshin Steel Co., Ltd.",ニッシンセイコウカブシキガイシャ,千代田区丸の内三丁目４番１号,鉄鋼,
E01249,内国法人・組合,上場,有,5040,3月31日,東洋鋼鈑株式会社,,トウヨウコウハンカブシキガイシャ,千代田区四番町２番地１２,鉄鋼,54530
E01251,内国法人・組合,上場,有,5907,3月31日,中部鋼鈑株式会社,"Chubu Steel Plate Co.,Ltd.",チュウブコウハンカブシキガイシャ,名古屋市中川区小碓通五丁目１番地,鉄鋼,54610
E01252,内国法人・組合,非上場,有,4801,3月31日,日鉄住金鋼管株式会社,"NIPPON STEEL & SUMIKIN PIPE CO.,LTD.",ニッテツスミキンコウカンカブシキカイシャ,千代田区有楽町一丁目１番３号東京宝塚ビル１２階,鉄鋼,54570
E01253,内国法人・組合,上場,有,9595,3月31日,丸一鋼管株式会社,Maruichi Steel Tube Ltd.,マルイチコウカンカブシキガイシャ,大阪市西区北堀江３丁目９番１０号,鉄鋼,54630
E01254,内国法人・組合,上場,有,13922,3月31日,大平洋金属株式会社,"Pacific Metals Co., Ltd.",タイヘイヨウキンゾクカブシキガイシャ,千代田区大手町一丁目６番１号,鉄鋼,55410
E01256,内国法人・組合,上場,有,11026,12月31日,新日本電工株式会社,"Nippon Denko Co., Ltd.",シンニッポンデンコウカブシキガイシャ,中央区八重洲一丁目４番１６号,鉄鋼,55630
E01257,内国法人・組合,上場,有,175,12月31日,新報国製鉄株式会社,SHINHOKOKU STEEL CORPORATION,シンホウコクセイテツカブシキガイシャ,川越市新宿町５丁目１３番地１,鉄鋼,55420
E01258,内国法人・組合,非上場,有,3630,12月31日,中央電気工業株式会社,"Chuo Denki Kogyo Co., Ltd.",チュウオウデンキコウギョウカブシキガイシャ,中央区八重洲一丁目４番１６号,鉄鋼,
E01259,内国法人・組合,上場,有,7996,3月31日,大和工業株式会社,"YAMATO KOGYO CO.,LTD.",ヤマトコウギョウカブシキガイシャ,姫路市大津区吉美３８０番地,鉄鋼,54440
E01260,内国法人・組合,上場,有,1969,3月31日,北越メタル株式会社,"HOKUETSU METAL Co.,Ltd.",ホクエツメタルカブシキガイシャ,長岡市蔵王三丁目３番１号,鉄鋼,54460
E01261,内国法人・組合,上場,無,30894,3月31日,東京製鐵株式会社,"TOKYO STEEL MANUFACTURING CO., LTD.",トウキョウセイテツカブシキガイシャ,千代田区霞が関三丁目７番１号　霞が関東急ビル,鉄鋼,54230
E01262,内国法人・組合,上場,無,8769,3月31日,大阪製鐵株式会社,"OSAKA STEEL CO.,LTD.",オオサカセイテツカブシキガイシャ,大阪市大正区南恩加島一丁目９番３号,鉄鋼,54490
E01263,内国法人・組合,上場,無,2453,3月31日,東京鋼鐵株式会社,"TOKYO KOHTETSU CO.,Ltd",トウキョウコウテツカブシキガイシャ,千代田区内神田一丁目１７番９号,鉄鋼,54480
E01264,内国法人・組合,上場,有,147143,3月31日,ジェイ　エフ　イー　ホールディングス株式会社,"JFE Holdings,Inc.",ジェイエフイーホールディングスカブシキカイシャ,千代田区内幸町二丁目２番３号,鉄鋼,54110
E01265,内国法人・組合,上場,有,2190,3月31日,朝日工業株式会社,"ASAHI INDUSTRIES CO.,LTD.",アサヒコウギョウカブシキガイシャ,児玉郡神川町渡瀬２２２番地,鉄鋼,54560
E01266,内国法人・組合,上場,有,18516,3月31日,共英製鋼株式会社,KYOEI STEEL LTD.,キョウエイセイコウカブシキガイシャ,大阪市北区堂島浜一丁目４番１６号,鉄鋼,54400
E01268,内国法人・組合,上場,有,31186,3月31日,株式会社栗本鐵工所,"Kurimoto,Ltd.",カブシキガイシャクリモトテッコウショ,大阪市西区北堀江１丁目１２番１９号,鉄鋼,56020
E01269,内国法人・組合,上場,有,2002,3月31日,虹技株式会社,KOGI CORPORATION,コウギカブシキガイシャ,姫路市大津区勘兵衛町４丁目１,鉄鋼,56030
E01270,内国法人・組合,非上場,有,1694,3月31日,テーデーエフ株式会社（商号ＴＤＦ株式会社）,TDF CORPORATION,テーデーエフカブシキガイシャ,柴田郡村田町大字沼辺字方作３９番地,鉄鋼,56410
E01275,内国法人・組合,上場,有,1504,3月31日,高砂鐵工株式会社,TAKASAGO TEKKO K.K.,タカサゴテッコウカブシキガイシャ,板橋区新河岸一丁目１番１号,鉄鋼,54580
E01276,内国法人・組合,上場,有,6857,3月31日,日本金属株式会社,"NIPPON KINZOKU CO., LTD.",ニッポンキンゾクカブシキガイシャ,板橋区舟渡四丁目１０番１号,鉄鋼,54910
E01280,内国法人・組合,上場,有,5000,3月31日,日本精線株式会社,"Nippon Seisen Co., Ltd.",ニッポンセイセンカブシキガイシャ,大阪市中央区高麗橋四丁目１番１号,鉄鋼,56590
E01282,内国法人・組合,上場,有,8062,3月31日,神鋼鋼線工業株式会社,"Shinko Wire Company, Ltd.",シンコウコウセンコウギョウカブシキガイシャ,尼崎市中浜町１０番地１,鉄鋼,56600
E01283,内国法人・組合,上場,有,1855,3月31日,日本鋳鉄管株式会社,NIPPON CHUTETSUKAN K.K.,ニッポンチュウテツカンカブシキガイシャ,中央区築地二丁目１２番１０号（築地ＭＦビル２６号館内）,鉄鋼,56120
E01284,内国法人・組合,上場,有,1036,3月31日,中央可鍛工業株式会社,"CHUO MALLEABLE IRON CO., LTD.",チュウオウカタンコウギョウカブシキガイシャ,名古屋市中川区富川町三丁目１番地の１,鉄鋼,56070
E01286,内国法人・組合,非上場,有,3634,3月31日,日鉄住金ＳＧワイヤ株式会社,"NIPPON STEEL & SUMIKIN SG WIRE CO.,LTD.",ニッテツスミキンエスジーワイヤ　カブシキガイシャ,千代田区丸の内一丁目９番１号,鉄鋼,56570
E01287,内国法人・組合,上場,有,10720,3月31日,日亜鋼業株式会社,"NICHIA STEEL WORKS,LTD.",ニチアコウギョウカブシキカイシャ,尼崎市中浜町１９番地,鉄鋼,56580
E01289,内国法人・組合,上場,有,7256,3月31日,株式会社シンニッタン,SNTCORPORATION,カブシキガイシャシンニッタン,高萩市上手綱３３３３番地３,鉄鋼,63190
E01292,内国法人・組合,上場,有,5839,3月31日,東京鐵鋼株式会社,"TOKYO TEKKO CO., LTD.",トウキョウテッコウカブシキガイシャ,小山市横倉新田５２０番地,鉄鋼,54450
E01294,内国法人・組合,上場,有,1557,3月31日,パウダーテック株式会社,"Powdertech Co., Ltd.",パウダーテックカブシキガイシャ,柏市十余二２１７番地,鉄鋼,56950
E01296,内国法人・組合,上場,有,1513,3月31日,株式会社サンユウ,"SANYU CO.,LTD.",カブシキガイシャサンユウ,枚方市春日北町３丁目１番１号,鉄鋼,56970
E01315,内国法人・組合,上場,有,7360,3月31日,モリ工業株式会社,MORY INDUSTRIES INC.,モリコウギョウカブシキガイシャ,河内長野市楠町東１６１５番地,鉄鋼,54640
E02185,内国法人・組合,上場,有,2143,3月31日,株式会社メタルアート,METALART CORPORATION,カブシキガイシャメタルアート,草津市野路三丁目２番１８号,鉄鋼,56440
E02258,内国法人・組合,上場,有,3940,3月31日,新家工業株式会社,"ARAYA INDUSTRIAL CO.,LTD.",アラヤコウギョウカブシキガイシャ,大阪市中央区南船場二丁目１２番１２号,鉄鋼,73050
E21200,内国法人・組合,上場,有,500,3月31日,株式会社川金ホールディングス,"Kawakin Holdings Co., Ltd.",カブシキガイシャカワキンホールディングス,川口市川口２丁目２番７号,鉄鋼,56140
E26712,内国法人・組合,上場,有,30000,3月31日,日新製鋼株式会社,"Nisshin Steel Co., Ltd.",ニッシンセイコウカブシキガイシャ,千代田区丸の内三丁目４番１号,鉄鋼,54130
E27868,内国法人・組合,上場,有,704,6月30日,株式会社エンビプロ・ホールディングス,ENVIPRO HOLDINGS Inc.,カブシキガイシャエンビプロホールディングス,富士宮市山宮３５０７番地の１９,鉄鋼,56980
E04208,内国法人・組合,上場,有,1080,3月31日,トランコム株式会社,"TRANCOM CO., LTD.",トランコムカブシキガイシャ,名古屋市東区葵一丁目１９番３０号,倉庫・運輸関連,90580
E04213,内国法人・組合,上場,有,4063,11月30日,株式会社キユーソー流通システム,K.R.S.Corporation,カブシキガイシャキユーソーリュウツウシステム,調布市調布ケ丘三丁目５０番地１,倉庫・運輸関連,93690
E04247,内国法人・組合,上場,無,2321,3月31日,株式会社大運,"DAIUN CO.,LTD.",カブシキガイシャダイウン,大阪市西区西本町１丁目１０番１０号　西本町全日空ビル,倉庫・運輸関連,93630
E04283,内国法人・組合,上場,有,22393,3月31日,三菱倉庫株式会社,Mitsubishi Logistics Corporation,ミツビシソウコカブシキガイシャ,中央区日本橋一丁目１９番１号,倉庫・運輸関連,93010
E04284,内国法人・組合,上場,有,11100,3月31日,三井倉庫ホールディングス株式会社,"MITSUI-SOKO HOLDINGS Co., Ltd.",ミツイソウコホールディングスカブシキカイシャ,港区西新橋三丁目２０番１号,倉庫・運輸関連,93020
E04285,内国法人・組合,上場,有,14922,3月31日,株式会社住友倉庫,"The Sumitomo Warehouse Co.,Ltd.",カブシキガイシャスミトモソウコ,大阪市北区中之島三丁目２番１８号,倉庫・運輸関連,93030
E04286,内国法人・組合,上場,有,7847,3月31日,澁澤倉庫株式会社,"The Shibusawa Warehouse Co.,Ltd.",シブサワソウコカブシキガイシャ,江東区永代二丁目３７番２８号,倉庫・運輸関連,93040
E04287,内国法人・組合,上場,有,3412,3月31日,東陽倉庫株式会社,"Toyo Logistics Co.,Ltd.",トウヨウソウコカブシキガイシャ,名古屋市中村区名駅南二丁目６番１７号,倉庫・運輸関連,93060
E04289,内国法人・組合,上場,有,8428,3月31日,日本トランスシティ株式会社,Japan Transcity Corporation,ニホントランスシティカブシキガイシャ,四日市市千歳町６番地の６,倉庫・運輸関連,93100
E04290,内国法人・組合,上場,有,3602,3月31日,安田倉庫株式会社,Yasuda Logistics corporation,ヤスダソウコカブシキガイシャ,港区海岸三丁目３番８号,倉庫・運輸関連,93240
E04293,内国法人・組合,上場,有,5376,3月31日,ケイヒン株式会社,"THE KEIHIN CO., LTD.",ケイヒンカブシキガイシャ,港区海岸３丁目４番２０号,倉庫・運輸関連,93120
E04294,内国法人・組合,上場,有,2565,3月31日,株式会社杉村倉庫,"sugimura warehouse co.,ltd.",カブシキガイシャスギムラソウコ,大阪市港区福崎１丁目１番５７号,倉庫・運輸関連,93070
E04296,内国法人・組合,上場,有,2527,11月30日,丸八倉庫株式会社,"Maruhachi Warehouse Company , Limited",マルハチソウコカブシキガイシャ,江東区富岡２丁目１番９号　ＨＦ門前仲町ビルディング４階,倉庫・運輸関連,93130
E04302,内国法人・組合,非上場,有,1600,3月31日,鈴江コーポレーション株式会社,SUZUE CORPORATION,スズエコーポレーションカブシキガイシャ,横浜市中区日本大通７番地,倉庫・運輸関連,
E04304,内国法人・組合,上場,有,2734,3月31日,株式会社中央倉庫,,カブシキガイシャチュウオウソウコ,京都市下京区朱雀内畑町４１番地,倉庫・運輸関連,93190
E04308,内国法人・組合,非上場,有,1831,3月31日,三和倉庫株式会社,"SANWA SOKO Co.,Ltd.",サンワソウコカブシキガイシャ,港区芝公園２丁目４番１号,倉庫・運輸関連,
E04317,内国法人・組合,上場,有,2108,3月31日,川西倉庫株式会社,"KAWANISHI WAREHOUSE CO.,LTD.",カワニシソウコカブシキガイシャ,神戸市兵庫区七宮町一丁目４番１６号,倉庫・運輸関連,93220
