ダウンロード実行日,2017年08月21日現在,件数,9742件,,,,,,,,
ＥＤＩＮＥＴコード,提出者種別,上場区分,連結の有無,資本金,決算日,提出者名,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード
E04126,内国法人・組合,非上場,有,160,3月31日,岳南鉄道株式会社,,ガクナンテツドウカブシキガイシャ,富士市今泉一丁目１７番３９号,陸運業,
E04127,内国法人・組合,非上場,有,100,3月31日,福井鉄道株式会社,"FUKUI RAILWAY CO.,LTD.",フクイテツドウカブシキカイシャ,越前市北府二丁目５番２０号,陸運業,
E04128,内国法人・組合,非上場,有,1557,3月31日,富山地方鉄道株式会社,"TOYAMACHIHO RAILROAD CO.,LTD.",トヤマチホウテツドウカブシキガイシャ,富山市桜町１丁目１番３６号,陸運業,
E04129,内国法人・組合,非上場,有,3800,3月31日,遠州鉄道株式会社,,エンシュウテツドウカブシキガイシャ,浜松市中区旭町１２番地の１,陸運業,
E04130,内国法人・組合,非上場,有,1814,3月31日,北陸鉄道株式会社,"HOKURIKU RAILROAD CO.,LTD",ホクリクテツドウカブシキガイシャ,金沢市割出町５５６番地,陸運業,
E04132,内国法人・組合,非上場,有,202,3月31日,小湊鉄道株式会社,,コミナトテツドウカブシキガイシャ,市原市五井中央東１丁目１番地２,陸運業,
E04135,内国法人・組合,非上場,有,510,3月31日,関東鉄道株式会社,"Kanto Railway Co.,Ltd",カントウテツドウカブシキガイシャ,土浦市真鍋一丁目１０番８号,陸運業,
E04136,内国法人・組合,上場,有,750,3月31日,秩父鉄道株式会社,,チチブテツドウカブシキガイシャ,熊谷市曙町１丁目１番地,陸運業,90120
E04137,内国法人・組合,非上場,有,800,3月31日,島原鉄道株式会社,"Shimabara Railroad Co.,Ltd.",シマバラテツドウカブシキガイシャ,島原市弁天町２丁目７３８５番地１,陸運業,
E04141,内国法人・組合,非上場,無,1500,3月31日,会津鉄道株式会社,"Aizu Railway Co.,Ltd.",アイヅテツドウカブシキガイシャ,会津若松市材木町一丁目３番２０号,陸運業,
E04142,内国法人・組合,非上場,無,450,3月31日,のと鉄道株式会社,"NOTO RAILWAY CO.,Ltd.",ノトテツドウカブシキガイシャ,鳳珠郡穴水町字大町チ２４番地２,陸運業,
E04145,内国法人・組合,非上場,無,124279,3月31日,東京臨海高速鉄道株式会社,,トウキョウリンカイコウソクテツドウカブシキガイシャ,江東区青海一丁目２番１,陸運業,
E04146,内国法人・組合,非上場,無,75280,3月31日,関西高速鉄道株式会社,"KansaiRapidRailwayCo.,Ltd",カンサイコウソクテツドウカブシキガイシャ,大阪市北区天神橋二丁目４番１５号,陸運業,
E04147,内国法人・組合,上場,有,200000,3月31日,東日本旅客鉄道株式会社,East Japan Railway Company,ヒガシニホンリョカクテツドウカブシキカイシャ,渋谷区代々木二丁目２番２号,陸運業,90200
E04148,内国法人・組合,上場,有,100000,3月31日,西日本旅客鉄道株式会社,West Japan Railway Company,ニシニホンリョカクテツドウカブシキガイシャ,大阪市北区芝田二丁目４番２４号,陸運業,90210
E04149,内国法人・組合,上場,有,112000,3月31日,東海旅客鉄道株式会社,Central Japan Railway Company,トウカイリョカクテツドウカブシキガイシャ,名古屋市中村区名駅一丁目１番４号,陸運業,90220
E04151,内国法人・組合,非上場,無,185016,3月31日,首都圏新都市鉄道株式会社,Metropolitan Intercity Railway Company,シュトケンシントシテツドウカブシキガイシャ,台東区台東四丁目２５番７号,陸運業,
E04152,内国法人・組合,非上場,無,50719,3月31日,横浜高速鉄道株式会社,-,ヨコハマコウソクテツドウカブシキガイシャ,横浜市中区元町一丁目１１番地,陸運業,
E04153,内国法人・組合,非上場,有,58100,3月31日,東京地下鉄株式会社,"Tokyo Metro Co.,Ltd.",トウキョウチカテツカブシキガイシャ,台東区東上野三丁目１９番６号,陸運業,
E04154,内国法人・組合,上場,有,50000,3月31日,株式会社西武ホールディングス,SEIBU HOLDINGS INC.,カブシキガイシャセイブホールディングス,豊島区南池袋一丁目１６番１５号,陸運業,90240
E04155,内国法人・組合,上場,有,4220,3月31日,新潟交通株式会社,"NiigataKotsu Co.,Ltd.",ニイガタコウツウカブシキガイシャ,新潟市万代１丁目６番１号,陸運業,90170
E04157,内国法人・組合,非上場,有,1050,3月31日,株式会社　ヤマコー,"YAMAKO Co., Ltd.",カブシキガイシャ　ヤマコー,山形市鉄砲町二丁目１３番１８号,陸運業,
E04158,内国法人・組合,上場,有,3160,3月31日,神奈川中央交通株式会社,"Kanagawa Chuo Kotsu Co., Ltd.",カナガワチュウオウコウツウカブシキガイシャ,平塚市八重咲町６番１８号,陸運業,90810
E04159,内国法人・組合,上場,有,525,3月31日,大和自動車交通株式会社,"Daiwa Motor Transportation Co.,Ltd",ダイワジドウシャコウツウカブシキカイシャ,江東区猿江二丁目１６番３１号,陸運業,90820
E04160,内国法人・組合,上場,有,3140,3月31日,神姫バス株式会社,"Shinki Bus Co.,Ltd.",シンキバスカブシキガイシャ,姫路市西駅前町１番地,陸運業,90830
E04161,内国法人・組合,上場,有,2100,3月31日,北海道中央バス株式会社,,ホッカイドウチュウオウバスカブシキガイシャ,小樽市色内１丁目８番６号,陸運業,90850
E04163,内国法人・組合,非上場,有,780,12月31日,長崎自動車株式会社,"Nagasaki Motor Bus Co.,Ltd.",ナガサキジドウシャカブシキガイシャ,長崎市新地町３番１７号,陸運業,
E04164,内国法人・組合,非上場,有,427,3月31日,大分交通株式会社,"Oita Transportation Co.,Ltd.",オオイタコウツウカブシキガイシャ,大分市大字勢家字芦崎１１０３番３,陸運業,
E04165,内国法人・組合,非上場,有,337,9月30日,南国交通株式会社,"Nangoku Traffic Co., Ltd.",ナンゴクコウツウカブシキガイシャ,鹿児島市中央町１８番地１,陸運業,
E04168,内国法人・組合,非上場,有,100,3月31日,日ノ丸自動車株式会社,"Hinomaru Bus Co.,Ltd.",ヒノマルジドウシャカブシキガイシャ,鳥取市古海６２０番地,陸運業,
E04170,内国法人・組合,非上場,有,1285,3月31日,奈良交通株式会社,"Nara Kotsu Bus Lines Co.,Ltd.",ナラコウツウカブシキガイシャ,奈良市大宮町１丁目１番２５号,陸運業,
E04171,内国法人・組合,非上場,無,50,3月31日,石川交通株式会社,"ISHIKAWA HIRE & TAXI CO.,LTD.",イシカワコウツウカブシキガイシャ,金沢市長田２丁目２５番２５号,陸運業,
E04172,内国法人・組合,非上場,有,375,3月31日,関東バス株式会社,,カントウバスカブシキガイシャ,中野区東中野５丁目２３番１４号,陸運業,
E04177,内国法人・組合,非上場,有,800,3月31日,近物レックス株式会社,"KINBUTSUREX CO.,LTD",キンブツレックスカブシキガイシャ,駿東郡清水町伏見字向田３５１番地,陸運業,
E04178,内国法人・組合,上場,有,9117,3月31日,丸全昭和運輸株式会社,"Maruzen Showa Unyu Co,.Ltd.",マルゼンショウワウンユカブシキガイシャ,横浜市中区南仲通二丁目１５番地,陸運業,90680
E04179,内国法人・組合,上場,有,26528,3月31日,センコーグループホールディングス株式会社,"SENKO Group Holdings Co.,Ltd.",センコーグループホールディングスカブシキガイシャ,東京都江東区潮見二丁目８番１０号,陸運業,90690
E04180,内国法人・組合,上場,有,2065,3月31日,名鉄運輸株式会社,"Meitetsu Transportation Co.,Ltd.",メイテツウンユカブシキガイシャ,名古屋市東区葵二丁目１２番８号,陸運業,90770
E04181,内国法人・組合,非上場,有,360,3月31日,瀬戸内運輸株式会社,"THE SETOUTI BUS CO., Ltd.",セトウチウンユカブシキガイシャ,今治市片原町１丁目２番地,陸運業,
E04182,内国法人・組合,上場,有,3559,3月31日,株式会社丸運,MARUWN CORPORATION,カブシキガイシャマルウン,中央区日本橋小網町７番２号,陸運業,90670
E04185,内国法人・組合,上場,有,14182,3月31日,トナミホールディングス株式会社,"Tonami Holdings Co.,Ltd.",トナミホールディングスカブシキガイシャ,高岡市昭和町３丁目２番１２号,陸運業,90700
E04186,内国法人・組合,非上場,有,1065,9月30日,九州産業交通ホールディングス株式会社,"KYUSHU INDUSTRIAL TRANSPORTATION HOLDINGS CO.,LTD.",キュウシュウサンギョウコウツウホールディングスカブシキガイシャ,熊本市中央区辛島町５番１号,陸運業,
E04187,内国法人・組合,上場,有,127234,3月31日,ヤマトホールディングス株式会社,"YAMATO HOLDINGS CO.,LTD.",ヤマトホールディングスカブシキガイシャ,中央区銀座二丁目１６番１０号,陸運業,90640
